nFactors,rms,crms,TLI,RMSEA,Fit,FitOff,BIC,chi2,df,chi2-diff,df-diff,sig_threshold_001
1,0.085919085,0.086420075,0.439846002,0.062656472,0.878584422,0.908796317,-46274.67501,126218.4876,14877,NA,NA,NA
2,0.068874534,0.069682481,0.529910711,0.057347172,0.91348082,0.941392872,-51057.83412,81107.50318,14704,45110.98441,173,236.21967
3,0.055575649,0.056559365,0.596688808,0.053070098,0.936196503,0.961840544,-54358.72582,52809.58673,14532,28297.91645,172,235.0533847
4,0.047874966,0.049011593,0.648268154,0.049515562,0.947668552,0.971682816,-56693.50147,39188.68161,14361,13620.90511,171,233.8866157
5,0.040241935,0.041443367,0.691868721,0.046302604,0.957648578,0.979992594,-58503.88591,27688.62504,14191,11500.05657,170,232.7193587
6,0.037041938,0.038377033,0.714292218,0.044546522,0.961753463,0.983048018,-59077.80951,23460.16617,14022,4228.458871,169,231.5516094
7,0.034324601,0.035776725,0.732274825,0.043083784,0.965116484,0.985443932,-59378.64703,20144.41558,13854,3315.750584,168,230.3833635
8,0.032819497,0.034416006,0.745384349,0.041978966,0.967031266,0.986692486,-59393.49186,18416.51879,13687,1727.896797,167,229.2146165
9,0.031370416,0.033097756,0.754349174,0.041197644,0.968872089,0.987841678,-59172.2512,16826.12978,13521,1590.38901,166,228.0453639
10,0.029827638,0.031663822,0.76711445,0.040077457,0.970712229,0.989008149,-59140.8316,15211.82812,13356,1614.301654,165,226.8756011
11,0.028561379,0.030507493,0.777014556,0.039181879,0.97218434,0.989921604,-58946.51274,13947.68163,13192,1264.146496,164,225.7053236
12,0.027409675,0.029459883,0.786877766,0.038271648,0.973463305,0.990718015,-58739.90861,12845.51273,13029,1102.168896,163,224.5345265
13,0.026486672,0.02864649,0.794691178,0.037530517,0.974552258,0.991332619,-58420.1326,11994.95055,12867,850.5621797,162,223.3632051
14,0.025638378,0.02790415,0.802272483,0.036798556,0.975530916,0.991878912,-58081.79171,11238.92548,12706,756.0250722,161,222.1913545
15,0.024870815,0.027240812,0.807686919,0.0362595,0.976422497,0.992357893,-57631.04223,10576.05566,12546,662.8698138,160,221.0189699
16,0.024173682,0.026646637,0.81526513,0.035506211,0.977230356,0.992780308,-57281.02131,9991.467856,12387,584.5878087,159,219.8460461
17,0.023500165,0.026071025,0.820235665,0.034994498,0.978007745,0.993177007,-56800.97187,9442.467383,12229,549.0004726,158,218.6725782
18,0.022864327,0.025530039,0.824659339,0.034530882,0.978773985,0.993541228,-56292.76052,8938.415119,12072,504.0522638,157,217.4985608
19,0.022233763,0.024987937,0.82923053,0.034047712,0.979506093,0.993892562,-55789.58741,8452.197485,11916,486.2176338,156,216.3239889
20,0.021592348,0.024426454,0.833838702,0.033555412,0.980272637,0.994239863,-55286.21768,7971.562077,11761,480.6354081,155,215.148857
